年份,上架时间,商品ID,商品名称（查找引用）,货号（查找引用）,产品等级,链接,直播价,运营,组别,类目名称(索引),一级类目,二级类目,叶子类目,主图,品类-公司维度划分,团购优惠金额,继承S级标注,6-8月是否同意破价,是否正常开推广,父记录,多类目上架判断,检测报告
2025,2025/02/17,888780246961,泡泡果园渔夫帽,KQ25005,清仓,https://detail.tmall.com/item.htm?id=888780246961&spm=a21dvs.23580594.0.0.499630fck7wORd&sku_properties=20017%3A993330616,39.9,曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,婴童防晒帽,,,同意,,,,
2025,2025/02/14,887323779176,果果岛呼吸盆帽,KQ25003,清仓,https://detail.tmall.com/item.htm?id=887323779176&spm=a21dvs.23580594.0.0.499630fcXLrV9F&sku_properties=20017%3A36668226472,29.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2025,2025/02/20,890700257827,森森物语渔夫帽,KQ25018,清仓,https://detail.tmall.com/item.htm?id=890700257827&spm=a21dvs.23580594.0.0.297e4b513NabSQ&skuId=5904440931182,"25.9
+冰袖：39.9",曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2025,2025/02/26,892915633714,森森物语防晒冰袖,KQ25010,清仓,https://detail.tmall.com/item.htm?id=892915633714&spm=a21dvs.23580594.0.0.70514b51ffxYaf,19.9,曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,同意,,,,
2025,2025/02/14,887893701099,卷卷涂鸦双面帽,KQ25004,清仓,https://detail.tmall.com/item.htm?id=887893701099&spm=a21dvs.23580594.0.0.499630fcMB5Fxm&sku_properties=20017%3A17418244246,39.9,洋葱,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,婴童防晒帽,,,同意,,,,
2025,2025/02/25,891858791859,点点艺术家防晒冰袖,KQ25027,B级,https://detail.tmall.com/item.htm?id=891858791859&spm=a21dvs.23580594.0.0.70514b51a38Aa6,29.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,不同意,,,,
2025,2025/02/28,893665945888,轻呼吸运动空顶帽,KQ25016,清仓,https://detail.tmall.com/item.htm?abbucket=5&id=893665945888&pisk=gh2mvxfQGSlf0Lzpkzkf9OQH66fRGnMs-PptWA3Na4uSHqQjHclaJycwBoCfjG0u5qhx3qpiIl4_WfytWRxbEyv9HZ1bbdDtQwQdp9EfcAMNJjqKaDYjADTVBVl2axi9PD0nE9EbcVtD7MFPpF4CpJL2_VzZU4otAAoqQVWPqcmn7Auq_Urrb4uZQPl2aToIYIRq_f8PqmiD3CoZ0Torvm8w7PkNq4uSbb1DQ22aF87PG9kRFoiQEmcm8ufBQdDvpjgUz4JN8-nDR2rqrdJZuaQCRuqAopZ-hJ4nvrBynyqaA5luIU7n58qz35rWogk3q7FKi7b2I4exyXwqKhW4qx0mT8lXmKaUqlPKZ8IFdxDqu5HbXHbYq-4Yc8q9bQkmH7c3nvWBuVF8xRmgCN6u-lrQ_b2MoguWaBuXpdiPX8R61joSq2eWtKSfzH9VygjkOsGqVmQdqgA61joSq2IlqBTjg0iAJ&rn=912a11f5f73df2b50f6cf221174ce89d&spm=a1z10.3-b-s.w4011-2629836412.127.6708367civw2bR&sku_properties=20017%3A36901729944,25.9,洋葱,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2025,2025/02/13,887476721043,小轻云立体口罩,KQ25013,清仓,https://detail.tmall.com/item.htm?id=887476721043&spm=a21dvs.23580594.0.0.499630fcFYrELg,12.9/19.9,曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>口罩,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,口罩,image.png,罩衣/其他,,,同意,,,,
2025,2025/05/06,920082218607,小轻云立体口罩（成人链接）,KQ25013,清仓,https://detail.tmall.com/item.htm?id=920082218607&spm=a21dvs.23580594.0.0.6df14b51XSmpFk,12.9/19.9,曲奇,运营三组,居家日用>防护用品>口罩,居家日用,防护用品,口罩,image.png,罩衣/其他,,,同意,,,,
2025,2025/02/24,891775598822,山息之旅空顶帽,KQ25034,B级,https://detail.tmall.com/item.htm?id=891775598822&spm=a21dvs.23580594.0.0.297e30fcXKg90E&sku_properties=20017%3A36835001791,39.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2025,2025/02/12,886876501935,沐风之旅运动折叠太阳镜,KQ25053,清仓,https://detail.tmall.com/item.htm?id=886876501935&sku_properties=122216343%3A35744623845,49.9,洋葱,运营一组,童装/婴儿装/亲子装>儿童配饰>太阳镜,童装/婴儿装/亲子装,儿童配饰,太阳镜,image.png,太阳镜,,,同意,,,,
2025,2025/02/21,890490623924,小薄荷真原纱防晒T,KQ25019,B级,https://detail.tmall.com/item.htm?id=890490623924,49.9,虾滑,运营二组,童装/婴儿装/亲子装>T恤>T恤,童装/婴儿装/亲子装,T恤,T恤,image.png,防晒衣,,,不同意,,,儿童速干T恤,
2025,2025/02/19,890112417053,小果冻真原纱冰皮衣,KQ25022,清仓,https://detail.tmall.com/item.htm?id=890112417053&spm=a21dvs.23580594.0.0.499630fccPuoAC,49.9,热狗,运营一组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2025,2025/02/22,891069530362,绵绵冰真原纱防晒衣,KQ25052,清仓,https://detail.tmall.com/item.htm?id=891069530362&spm=a21dvs.23580594.0.0.5ceb4b51tLhYB0,69.9,热狗,运营一组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2025,2025/03/14,898087491138,弹弹速干骑行短裤,KQ25041,清仓,https://detail.tmall.com/item.htm?abbucket=11&id=898087491138&pisk=g5oicVYS5Vz6ThdLJDZ6yIETDXLLflZbZjIYMoF28WPQX5d_X-zqwb4VDAL6nKVnG5UTb5I0mxcjMroYMmXsxbjAXCTs3iqY0QdJ23H6CoZ2w69UQe1_F86wD-PNYlwAO8Vux3HsCSZ2wQKJ2sfJ1ZWVuSl4YWyb3oya0R7eK-2ugoPau6kU3Wr4057aYWyYhi54_NJhLReagsSagHrUH-140olqLp2bTRr40biG07mqADReCDaP2AHIxR4gavY50iml2PPr3WS2aD2MN7katiS4_BdWNvD9sgMLf0cuefKFjbDqFqznm6RuGDDEbqkCsproK238S2ANmWnT9ziaqt-ZKlVgzDz1IGGrKxu8-DpyVlqa_qEsHTAtKcctCDDA3wrgX24oju-5_S3KEm2mcItnZxkSuymcsgo58aP12iweHD7flPyQK7nCrGJ6TTsw9pvhPFaadRdJKpbflPyQK7pHKa1_7Jw9w&rn=0623f606396828d50e3d9d21a579dcfa&spm=a1z10.3-b-s.w4011-2629836412.109.731f367c4B4dPe,"39.9
长裤：49.9
骑行服：79.9",洋葱,运营一组,童装/婴儿装/亲子装>裤子>裤子,童装/婴儿装/亲子装,裤子,裤子,image.png,罩衣/其他,,,同意,,,,
2025,2025/02/21,891219717399,小汽水速干T（大网眼）,KQ25037,A级,https://detail.tmall.com/item.htm?abbucket=5&id=891219717399&pisk=gyyIvtqmNeYBpoLgxwIZf_rXwaMSFz6VA3i8mupe2vHdPza8SLoPxMVs2PzSUYrR-zwSWuVFxb7HV5a3DXz7qMm-yzUSzW5N3kqnEYQqFtW4xJY1V-UBe0EO2mokpGlKQbrPBYQVuTOwXXbEeyuGYuY96m0tvphppGMtqmKKebnLXGi-4e3-JzEOfVmWwH3-ydptV08KeLdKBfnrAenpp2BOBVm-eLU-ebcyc01I-ksLUUohtNQTAV9JeRiOrqECPLiaQDNtlkeBKpjoAXgYvV_j43jE6uc7E3vSNkF0rmUpJaguCleLMrQwT2FjVoP7v9ptLJqLMbeArQEEL2MTpStJelMI5bySse_skJqTnAhNHiZTIyr3Cu-ReczqWk2KFtImdv3KCc2PSp3767eEtYYdP42_XJF54hJqlOrDNhGDFcgVfGOkZe7XTlkBFKzn9cmI_Gs6J7cKjcgVfGOkZXniAVS1feFl.&rn=912a11f5f73df2b50f6cf221174ce89d&spm=a1z10.3-b-s.w4011-2629836412.155.6708367civw2bR,39.9,热狗,运营一组,童装/婴儿装/亲子装>T恤>T恤,童装/婴儿装/亲子装,T恤,T恤,image.png,速干衣裤,,,不同意,,,儿童速干T恤,
2025,2025/02/21,890440263152,圈圈派对真原纱防晒衣,KQ25017,清仓,https://detail.tmall.com/item.htm?id=890440263152&spm=a21dvs.23580594.0.0.72134b51u6mJJE,59.9,热狗,运营一组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2025,2025/03/07,896167257123,小旋风速干T短袖,KQ25038,清仓,https://detail.tmall.com/item.htm?abbucket=5&id=896167257123&pisk=gJjiv9455N8sB_1-66-_ytT6iUzL5AtXZsnvMnd48BRBXCF6XK8Vw_YqDOU_n-AhGCL9bCnDmtffMESvMiD1x_mxX5a13mxv07F82uB_Cnt4wzntvql6Fdo4DE-qYh9xOLAkxuB1CIMig8QU2jV7WnGZuI52YBJXenJw0d-UKKvkgnRwuXWe3BR20sRw8vJyeAlw7nJUKd9iudJqbeoeUKvqbs-4K9RB3bYn0QjVAMPF61faRKMCAdYMaORNBOIUrFu1BBmnYMbHkQrJtmoVxdXUh0FKqrdPPCLJa6rKjnXen6YRS7mGitW5uejm_RCPTZf2dwNmoQbVBasBJxuNKiAMzG8nUmByfK52owNo2dxO-UjG5-GFQ_dGzh6xE5BHrwYWLekm7hQReiTPblcW9U9ctUQgZcfP4ngEzCi-cpyAYqgX7p9Hwf9qARVEFcPLKJ075FJBB7e3KqgX7p9HwJ2nPfTwddFR.&rn=f33d59ca25cc7714fbfbaa710bb3a4ab&spm=a1z10.3-b-s.w4011-2629836412.123.3a13367cJqpub7,39.9,栗子,运营二组,童装/婴儿装/亲子装>T恤>T恤,童装/婴儿装/亲子装,T恤,T恤,image.png,速干衣裤,,,同意,,,儿童速干T恤,
2024,2024/02/20,768469506242,咕噜小猫眼亲子太阳镜,KQ24022,清仓,https://detail.tmall.com/item.htm?id=768469506242&sku_properties=122216343:1817568817,39.9/49.9,栗子,运营二组,童装/婴儿装/亲子装>儿童配饰>太阳镜,童装/婴儿装/亲子装,儿童配饰,太阳镜,image.png,太阳镜,,,同意,,,,
2026,2024/02/20,768469506242,【专供】晶瞳护眼太阳镜,KQ26091,清仓,https://detail.tmall.com/item.htm?id=768469506242&sku_properties=122216343:1817568817,"49.9
成人：59.9",栗子,运营二组,童装/婴儿装/亲子装>儿童配饰>太阳镜,童装/婴儿装/亲子装,儿童配饰,太阳镜,image.png,太阳镜,,,同意,,,,
2024,2024/03/04,771440914937,泡泡符号双面帽,KQ24016,清仓,https://detail.tmall.com/item.htm?id=771440914937&spm=a21dov.b63576985.0.0.624a4b51qmjb7n&sku_properties=20017:30881338741,29.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,婴童防晒帽,,,同意,,,,
2023,2024/03/08,772459134667,缤纷夏日防晒冰袖,KQ23002,B级,https://detail.tmall.com/item.htm?id=772459134667&spm=a21dvs.23580594.0.0.621e3d0d3R1ejY,29.9/54.9,热狗,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,不同意,,,,
2024,2024/03/16,774506846868,野原之旅亲子防晒帽,KQ24018,清仓,https://detail.tmall.com/item.htm?id=774506846868&spm=a21dov.b63576985.0.0.302a4b51wnCTKg&sku_properties=20017:1371780412,39.9/49.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2024,2024/03/07,772225822762,苹果岛屿亲子空顶帽,KQ24010,清仓,https://detail.tmall.com/item.htm?id=772225822762&sku_properties=20017:9919776;20509:1569043734&spm=a21dvs.23580594.0.0.621e645ezxbC1b,"儿童/成人：39.9
+冰袖：54.9",热狗,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,不同意,,,,
2024,2024/03/26,777560134114,苹果岛屿亲子防晒冰袖,KQ24026,清仓,https://detail.tmall.com/item.htm?id=777560134114&spm=a21dvs.23580594.0.0.621e645eQD3O9T,"儿童：19.9
+冰袖：35.9
成人：25.9
+冰袖：54.9",热狗,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,不同意,,,,
2024,2024/04/15,784372913123,小凉风运动冰皮衣,KQ24052,清仓,https://detail.tmall.com/item.htm?id=784372913123&spm=a21dvs.23580594.0.0.621e3d0dLLSsWT,59.9,热狗,运营一组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2024,2024/05/13,795479739770,帽子夹,KQ24038,B级,https://detail.tmall.com/item.htm?id=795479739770&skuId=5426723976553&spm=a21dvs.23580594.0.0.621e3d0dCcWSD5,19.9,热狗,运营一组,服饰配件/皮带/帽子/围巾>其他配件>其他配件,服饰配件/皮带/帽子/围巾,其他配件,其他配件,image.png,罩衣/其他,,,同意,,,,
2024,2024/04/15,784262186822,彩虹庄园运动冰皮衣,KQ24051,清仓,https://detail.tmall.com/item.htm?id=784262186822&spm=a21dvs.23580594.0.0.1d293d0dkOoXKO,49.9,曲奇,运营三组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2024,2024/03/01,770655600961,莫奈多色双帽檐,KQ24007,清仓,https://detail.tmall.com/item.htm?id=770655600961&sku_properties=20017:1352104120&spm=a21dvs.23580594.0.0.621e3d0dwhhNxt,45.9,曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,不同意,,,,
2024,2024/04/17,785251121780,小风车排汗T,KQ24062,清仓,https://detail.tmall.com/item.htm?id=785251121780,29.9/79.9,热狗,运营一组,童装/婴儿装/亲子装>T恤>T恤,童装/婴儿装/亲子装,T恤,T恤,image.png,速干衣裤,,,同意,,,儿童速干T恤,
2024,2024/03/21,775921335654,小探险家防晒盆帽,KQ24015,清仓,https://detail.tmall.com/item.htm?id=775921335654&sku_properties=20017:31249293104,34.9/46.9,曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2024,2024/03/18,775074342974,呼吸防晒渔夫帽,KQ24013,清仓,https://detail.tmall.com/item.htm?id=775074342974&skuId=5473366591551,39.9,栗子,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2023,2024/02/01,766096165452,KK树山息氧气冲锋衣,KQ23182,清仓,https://detail.tmall.com/item.htm?id=766096165452&spm=a211b3.detailpagenew.0.0.13235444PL3PQk,69.9,桃酥,运营三组,童装/婴儿装/亲子装>外套/夹克/大衣>普通外套,童装/婴儿装/亲子装,外套/夹克/大衣,普通外套,image.png,冲锋衣,,,同意,,,儿童冲锋衣,
2024,2024/03/21,775944862845,条条魔力半空顶披风帽,KQ24012,清仓,https://detail.tmall.com/item.htm?id=775944862845&sku_properties=20017:30178140164&spm=a21dvs.23580594.0.0.621e3d0dqmgayz,39.9/51.9,桃酥,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,其他防晒帽,,,同意,,,,
2024,2024/03/12,773384131644,万花筒渔夫帽,KQ24017,清仓,https://detail.tmall.com/item.htm?abbucket=11&id=773384131644&rn=821bd4830e476582a254da87a6d113d0&sku_properties=20017:31025458137&spm=a1z10.3-b-s.w4011-14899565465.260.4bad367c1GRF5v,29.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,婴童防晒帽,,,同意,,,,
2024,2024/04/01,779241881896,探险家防晒冰袖,KQ24050,清仓,https://detail.tmall.com/item.htm?id=779241881896,19.9,虾滑,运营二组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,同意,,,,
2024,2024/03/14,773877859783,海洋之翼冰皮衣（主）,KQ24029,清仓,https://detail.tmall.com/item.htm?id=773877859783,69.9,曲奇,运营三组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2024,2025/04/09,908350246278,海洋之翼冰皮衣（副）,KQ24029,清仓,https://detail.tmall.com/item.htm?id=908350246278&spm=a21dvs.23580594.0.0.5f7f645efXpT14,69.9,曲奇,运营三组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2024,2024/03/26,777474335065,小海绵排汗衣,KQ24060,清仓,https://detail.tmall.com/item.htm?id=777474335065&skuId=5316674853124,29.9/49.9,虾滑,运营二组,童装/婴儿装/亲子装>T恤>T恤,童装/婴儿装/亲子装,T恤,T恤,image.png,速干衣裤,,,同意,,,儿童速干T恤,
2024,2024/04/25,788127680304,彩虹庄园运动冰袖,KQ24053,清仓,https://detail.tmall.com/item.htm?id=788127680304&spm=a21dvs.23580594.0.0.4d563d0dblHReu,19.9,曲奇,运营三组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>袖套/儿童冰袖,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,袖套/儿童冰袖,image.png,冰袖,,,同意,,,,
2024,2024/03/22,776223228579,双色雪糕球冰皮衣,KQ24030,清仓,https://detail.tmall.com/item.htm?id=776223228579,69.9/79.9,栗子,运营二组,童装/婴儿装/亲子装>儿童户外服>儿童皮肤衣/防晒衣,童装/婴儿装/亲子装,儿童户外服,儿童皮肤衣/防晒衣,image.png,防晒衣,,,同意,,,,
2024,2024/04/17,785108453459,汗跑跑速干T,KQ24064,清仓,https://detail.tmall.com/item.htm?id=785108453459&spm=a21dvs.23580594.0.0.621e3d0dVk9IkA,"短袖：29.9
长袖：39.9
长裤：49.9
短袖套装：69.9
长袖套装：79.9",洋葱,运营一组,童装/婴儿装/亲子装>T恤>T恤,童装/婴儿装/亲子装,T恤,T恤,image.png,速干衣裤,,,同意,,,儿童速干T恤,
2024,2024/04/08,781622968811,灵感涂鸦防晒帽,KQ24047,B级,https://detail.tmall.com/item.htm?id=781622968811&sku_properties=20017:31720779494&spm=a21dvs.23580594.0.0.621e645eYR134F,39.9,热狗,运营一组,童装/婴儿装/亲子装>帽子/围巾/口罩/手套/耳套/脚套>帽子,童装/婴儿装/亲子装,帽子/围巾/口罩/手套/耳套/脚套,帽子,image.png,婴童防晒帽,,,同意,,,,
