月份·品类,月份,品类,要推等级,校验状态,备注
3月·婴童防晒帽,3月,婴童防晒帽,"S级, A级, 新品",✓ 两表一致,
3月·泳具-其他,3月,泳具-其他,"S级, A级, 新品",① 等级表有·清单原漏,
3月·泳衣,3月,泳衣,"S级, A级, 新品",✓ 两表一致,
3月·泳镜,3月,泳镜,"S级, A级, 新品",① 等级表有·清单原漏,
3月·溯溪鞋,3月,溯溪鞋,"S级, A级, 新品",✓ 两表一致,
3月·罩衣,3月,罩衣,,② 待补等级(清单有),
3月·速干衣裤,3月,速干衣裤,"S级, A级, 新品",✓ 两表一致,
3月·防晒衣,3月,防晒衣,"S级, A级, 新品",✓ 两表一致,
3月·雨具,3月,雨具,"S级, A级",① 等级表有·清单原漏,
4月·书包,4月,书包,"S级, A级",① 等级表有·清单原漏,
4月·其他防晒帽,4月,其他防晒帽,"S级, A级, 新品",✓ 两表一致,
4月·冰袖,4月,冰袖,"S级, A级, 新品",✓ 两表一致,
4月·太阳镜,4月,太阳镜,"S级, A级, 新品",✓ 两表一致,
4月·婴童防晒帽,4月,婴童防晒帽,"S级, A级",✓ 两表一致,
4月·户外用具,4月,户外用具,,② 待补等级(清单有),
4月·泳具-其他,4月,泳具-其他,"S级, A级, 新品",✓ 两表一致,
4月·泳衣,4月,泳衣,"S级, A级, 新品",✓ 两表一致,
4月·泳镜,4月,泳镜,"S级, A级, 新品",✓ 两表一致,
4月·溯溪鞋,4月,溯溪鞋,"S级, A级, 新品",✓ 两表一致,
4月·速干衣裤,4月,速干衣裤,"S级, A级, 新品",✓ 两表一致,
4月·防晒衣,4月,防晒衣,"S级, A级, 新品",✓ 两表一致,
4月·雨具,4月,雨具,"S级, A级",① 等级表有·清单原漏,
5月·书包,5月,书包,"S级, A级, 新品",✓ 两表一致,
5月·其他防晒帽,5月,其他防晒帽,"S级, A级",✓ 两表一致,
5月·冰袖,5月,冰袖,"S级, A级",✓ 两表一致,
5月·太阳镜,5月,太阳镜,"S级, A级",✓ 两表一致,
5月·婴童防晒帽,5月,婴童防晒帽,"S级, A级",✓ 两表一致,
5月·户外用具,5月,户外用具,,② 待补等级(清单有),
5月·泳具-其他,5月,泳具-其他,"S级, A级",✓ 两表一致,
5月·泳衣,5月,泳衣,"S级, A级",✓ 两表一致,
5月·泳镜,5月,泳镜,"S级, A级",✓ 两表一致,
5月·溯溪鞋,5月,溯溪鞋,"S级, A级",✓ 两表一致,
5月·速干衣裤,5月,速干衣裤,"S级, A级",✓ 两表一致,
5月·防晒衣,5月,防晒衣,"S级, A级",✓ 两表一致,
5月·雨具,5月,雨具,"S级, A级, 新品",① 等级表有·清单原漏,
6月·书包,6月,书包,"S级, A级, 新品",✓ 两表一致,
6月·其他防晒帽,6月,其他防晒帽,"S级, A级",✓ 两表一致,
6月·冰袖,6月,冰袖,"S级, A级",✓ 两表一致,
6月·太阳镜,6月,太阳镜,"S级, A级",✓ 两表一致,
6月·婴童防晒帽,6月,婴童防晒帽,"S级, A级",① 等级表有·清单原漏,
6月·户外包,6月,户外包,"S级, 新品",✓ 两表一致,
6月·户外用具,6月,户外用具,"S级, 新品",① 等级表有·清单原漏,
6月·泳具-其他,6月,泳具-其他,"S级, A级",✓ 两表一致,
6月·泳衣,6月,泳衣,"S级, A级",✓ 两表一致,
6月·泳镜,6月,泳镜,"S级, A级",✓ 两表一致,
6月·溯溪鞋,6月,溯溪鞋,"S级, A级",✓ 两表一致,
6月·蓝光眼镜,6月,蓝光眼镜,"S级, 新品",① 等级表有·清单原漏,
6月·速干衣裤,6月,速干衣裤,"S级, A级",✓ 两表一致,
6月·防晒衣,6月,防晒衣,"S级, A级",✓ 两表一致,
6月·雨具,6月,雨具,"S级, A级, 新品",✓ 两表一致,
7月·书包,7月,书包,"S级, A级, 新品",✓ 两表一致,
7月·其他防晒帽,7月,其他防晒帽,"S级, A级",✓ 两表一致,
7月·冰袖,7月,冰袖,,② 待补等级(清单有),
7月·冲锋衣,7月,冲锋衣,"S级, A级, 新品",① 等级表有·清单原漏,
7月·太阳镜,7月,太阳镜,"S级, A级",✓ 两表一致,
7月·户外包,7月,户外包,"S级, 新品",① 等级表有·清单原漏,
7月·户外用具,7月,户外用具,"S级, 新品",① 等级表有·清单原漏,
7月·抓绒衣裤,7月,抓绒衣裤,"S级, A级, 新品",① 等级表有·清单原漏,
7月·泳具-其他,7月,泳具-其他,"S级, A级",✓ 两表一致,
7月·泳衣,7月,泳衣,"S级, A级",✓ 两表一致,
7月·泳镜,7月,泳镜,"S级, A级",✓ 两表一致,
7月·溯溪鞋,7月,溯溪鞋,"S级, A级",✓ 两表一致,
7月·秋冬帽,7月,秋冬帽,新品,① 等级表有·清单原漏,
7月·罩衣,7月,罩衣,"S级, A级, 新品",① 等级表有·清单原漏,
7月·蓝光眼镜,7月,蓝光眼镜,"S级, 新品",① 等级表有·清单原漏,
7月·软壳衣裤,7月,软壳衣裤,"S级, A级, 新品",✓ 两表一致,
7月·速干衣裤,7月,速干衣裤,,② 待补等级(清单有),
7月·防晒衣,7月,防晒衣,,② 待补等级(清单有),
7月·雨具,7月,雨具,"S级, A级, 新品",✓ 两表一致,
8月·书包,8月,书包,"S级, A级",✓ 两表一致,
8月·其他防晒帽,8月,其他防晒帽,S级,✓ 两表一致,
8月·冲锋衣,8月,冲锋衣,"S级, A级, 新品",✓ 两表一致,
8月·太阳镜,8月,太阳镜,S级,✓ 两表一致,
8月·户外包,8月,户外包,"S级, 新品",① 等级表有·清单原漏,
8月·户外用具,8月,户外用具,"S级, 新品",① 等级表有·清单原漏,
8月·抓绒衣裤,8月,抓绒衣裤,"S级, A级, 新品",① 等级表有·清单原漏,
8月·泳具-其他,8月,泳具-其他,,② 待补等级(清单有),
8月·泳衣,8月,泳衣,,② 待补等级(清单有),
8月·泳镜,8月,泳镜,S级,✓ 两表一致,
8月·溯溪鞋,8月,溯溪鞋,S级,✓ 两表一致,
8月·秋冬帽,8月,秋冬帽,新品,① 等级表有·清单原漏,
8月·罩衣,8月,罩衣,"S级, A级, 新品",① 等级表有·清单原漏,
8月·蓝光眼镜,8月,蓝光眼镜,"S级, 新品",① 等级表有·清单原漏,
8月·软壳衣裤,8月,软壳衣裤,"S级, A级, 新品",✓ 两表一致,
8月·雨具,8月,雨具,"S级, A级",✓ 两表一致,
9月·书包,9月,书包,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·其他防晒帽,9月,其他防晒帽,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·冲锋衣,9月,冲锋衣,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·太阳镜,9月,太阳镜,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·抓绒衣裤,9月,抓绒衣裤,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·溯溪鞋,9月,溯溪鞋,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·滑雪,9月,滑雪,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·秋冬帽,9月,秋冬帽,"S级, A级, 新品",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·罩衣,9月,罩衣,"S级, A级, 新品",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·软壳衣裤,9月,软壳衣裤,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
9月·雨具,9月,雨具,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·书包,10月,书包,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·其他防晒帽,10月,其他防晒帽,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·冲锋衣,10月,冲锋衣,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·太阳镜,10月,太阳镜,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·抓绒衣裤,10月,抓绒衣裤,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·滑雪,10月,滑雪,"S级, A级, 新品",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·秋冬帽,10月,秋冬帽,"S级, A级, 新品",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·罩衣,10月,罩衣,"S级, A级, 新品",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·软壳衣裤,10月,软壳衣裤,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
10月·雨具,10月,雨具,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·书包,11月,书包,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·其他防晒帽,11月,其他防晒帽,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·冲锋衣,11月,冲锋衣,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·太阳镜,11月,太阳镜,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·抓绒衣裤,11月,抓绒衣裤,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·滑雪,11月,滑雪,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·秋冬帽,11月,秋冬帽,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·罩衣,11月,罩衣,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·软壳衣裤,11月,软壳衣裤,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
11月·雨具,11月,雨具,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·书包,12月,书包,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·其他防晒帽,12月,其他防晒帽,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·冲锋衣,12月,冲锋衣,,② 待补等级(清单有),防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·太阳镜,12月,太阳镜,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·婴童防晒帽,12月,婴童防晒帽,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·抓绒衣裤,12月,抓绒衣裤,,② 待补等级(清单有),防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·泳衣,12月,泳衣,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·泳镜,12月,泳镜,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·溯溪鞋,12月,溯溪鞋,S级,① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·滑雪,12月,滑雪,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·秋冬帽,12月,秋冬帽,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·罩衣,12月,罩衣,"S级, A级",✓ 两表一致,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·蓝光眼镜,12月,蓝光眼镜,"S级, 新品",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·软壳衣裤,12月,软壳衣裤,,② 待补等级(清单有),防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
12月·雨具,12月,雨具,"S级, A级",① 等级表有·清单原漏,防晒帽，太阳镜，泳衣，溯溪鞋S级款式排名和花费还是要继续关注的
